Subject,Start Date,Start Time,End Date,End Time,All Day Event,Location,Description
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,08/30/2013,9:30 PM,08/30/2013,11:03 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/dr_strangelove_or_how_i_.html"">Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb</a>
"
"Great Gatsby, The (2013)",08/31/2013,7:00 PM,08/31/2013,7:00 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/great_gatsby_the_2013.html"">Great Gatsby, The (2013)</a>
"
Star Trek Into Darkness,08/31/2013,10:00 PM,08/31/2013,10:00 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/star_trek_into_darkness.html"">Star Trek Into Darkness</a>
"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,09/01/2013,5:00 PM,09/01/2013,5:00 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/dr_strangelove_or_how_i_.html"">Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb</a>
"
Lawrence of Arabia,09/01/2013,7:15 PM,09/01/2013,11:00 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/lawrence_of_arabia.html"">Lawrence of Arabia</a>
"
Before Sunrise,09/03/2013,8:00 PM,09/03/2013,9:41 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/before_sunrise.html"">Before Sunrise</a>
"
Double Indemnity,09/04/2013,7:00 PM,09/04/2013,8:47 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/double_indemnity.html"">Double Indemnity</a>
"
Frances Ha,09/04/2013,9:20 PM,09/04/2013,10:46 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/frances_ha.html"">Frances Ha</a>
"
Nostalghia,09/05/2013,7:00 PM,09/05/2013,9:00 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/nostalghia.html"">Nostalghia</a>
"
Frances Ha,09/05/2013,9:30 PM,09/05/2013,9:30 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/frances_ha.html"">Frances Ha</a>
"
Stories We Tell,09/06/2013,7:00 PM,09/06/2013,8:48 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/stories_we_tell.html"">Stories We Tell</a>
"
Richard Artschwager: Shut Up and Look,09/06/2013,9:15 PM,09/06/2013,9:15 PM,False,Cinemapolis (Ithaca),"<a href=""http://cinema.cornell.edu/Fall2013/richard_artschwager_shut.html"">Richard Artschwager: Shut Up and Look</a>
"
Iron Man 3,09/06/2013,9:30 PM,09/06/2013,11:40 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/iron_man_3.html"">Iron Man 3</a>
"
Nostalghia,09/07/2013,7:00 PM,09/07/2013,7:00 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/nostalghia.html"">Nostalghia</a>
"
Iron Man 3,09/07/2013,9:30 PM,09/07/2013,9:30 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/iron_man_3.html"">Iron Man 3</a>
"
Frances Ha,09/08/2013,7:15 PM,09/08/2013,7:15 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/frances_ha.html"">Frances Ha</a>
"
Iron Man 3,09/08/2013,9:15 PM,09/08/2013,9:15 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/iron_man_3.html"">Iron Man 3</a>
"
Richard Artschwager: Shut Up and Look,09/10/2013,7:15 PM,09/10/2013,7:15 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/richard_artschwager_shut.html"">Richard Artschwager: Shut Up and Look</a>
"
North by Northwest,09/11/2013,7:00 PM,09/11/2013,9:16 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/north_by_northwest.html"">North by Northwest</a>
"
Iron Man 3,09/11/2013,9:45 PM,09/11/2013,9:45 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/iron_man_3.html"">Iron Man 3</a>
"
Something in the Air,09/12/2013,7:00 PM,09/12/2013,9:02 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/something_in_the_air.html"">Something in the Air</a>
"
Behind the Candelabra,09/12/2013,9:30 PM,09/12/2013,11:28 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/behind_the_candelabra.html"">Behind the Candelabra</a>
"
Room 237,09/13/2013,7:15 PM,09/13/2013,8:57 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/room_237.html"">Room 237</a>
"
The Shining,09/13/2013,9:30 PM,09/13/2013,11:52 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/shining.html"">The Shining</a>
"
Behind the Candelabra,09/14/2013,9:30 PM,09/14/2013,9:30 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/behind_the_candelabra.html"">Behind the Candelabra</a>
"
Room 237,09/15/2013,7:15 PM,09/15/2013,7:15 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/room_237.html"">Room 237</a>
"
The Shining,09/15/2013,9:30 PM,09/15/2013,9:30 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/shining.html"">The Shining</a>
"
Harvest of Empire,09/16/2013,7:00 PM,09/16/2013,7:00 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/harvest_of_empire.html"">Harvest of Empire</a>
"
High Noon,09/18/2013,7:00 PM,09/18/2013,8:25 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/high_noon.html"">High Noon</a>
"
The Bling Ring,09/18/2013,9:00 PM,09/18/2013,10:30 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/bling_ring.html"">The Bling Ring</a>
"
Touch,09/19/2013,7:15 PM,09/19/2013,8:23 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/touch.html"">Touch</a>
"
Monsters University,09/19/2013,9:30 PM,09/19/2013,11:14 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/monsters_university.html"">Monsters University</a>
"
Monsters University,09/20/2013,9:30 PM,09/20/2013,9:30 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/monsters_university.html"">Monsters University</a>
"
Monsters University,09/21/2013,7:15 PM,09/21/2013,7:15 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/monsters_university.html"">Monsters University</a>
"
The Bling Ring,09/21/2013,9:30 PM,09/21/2013,9:30 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/bling_ring.html"">The Bling Ring</a>
"
Sundance Shorts,09/22/2013,7:15 PM,09/22/2013,8:48 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/sundance_shorts.html"">Sundance Shorts</a>
"
The Bling Ring,09/22/2013,9:30 PM,09/22/2013,9:30 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/bling_ring.html"">The Bling Ring</a>
"
Deceptive Practice: The Mysteries and Mentors of Ricky Jay,09/24/2013,7:30 PM,09/24/2013,8:58 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/deceptive_practice_the_m.html"">Deceptive Practice: The Mysteries and Mentors of Ricky Jay</a>
"
Silent Shorts Program,09/25/2013,7:00 PM,09/25/2013,8:30 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/silent_shorts_program.html"">Silent Shorts Program</a>
"
This Is the End,09/25/2013,9:00 PM,09/25/2013,10:47 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/this_is_the_end.html"">This Is the End</a>
"
War Witch,09/26/2013,7:00 PM,09/26/2013,8:30 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/war_witch.html"">War Witch</a>
"
I Married a Witch,09/26/2013,9:20 PM,09/26/2013,10:37 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/i_married_a_witch.html"">I Married a Witch</a>
"
Lolita,09/27/2013,7:00 PM,09/27/2013,9:33 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/lolita.html"">Lolita</a>
"
This Is the End,09/27/2013,10:00 PM,09/27/2013,10:00 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/this_is_the_end.html"">This Is the End</a>
"
Lolita,09/28/2013,7:00 PM,09/28/2013,7:00 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/lolita.html"">Lolita</a>
"
This Is the End,09/28/2013,10:00 PM,09/28/2013,10:00 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/this_is_the_end.html"">This Is the End</a>
"
Before Sunset,09/29/2013,5:00 PM,09/29/2013,6:20 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/before_sunset.html"">Before Sunset</a>
"
Before Midnight,09/29/2013,7:15 PM,09/29/2013,9:04 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/before_midnight.html"">Before Midnight</a>
"
These Amazing Shadows,10/02/2013,7:00 PM,10/02/2013,8:28 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/these_amazing_shadows.html"">These Amazing Shadows</a>
"
Before Midnight,10/02/2013,9:00 PM,10/02/2013,9:00 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/before_midnight.html"">Before Midnight</a>
"
Museum Hours,10/03/2013,7:00 PM,10/03/2013,8:47 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/museum_hours.html"">Museum Hours</a>
"
The Heat,10/03/2013,10:00 PM,10/03/2013,11:57 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/heat.html"">The Heat</a>
"
Voyage to Italy,10/04/2013,7:15 PM,10/04/2013,8:40 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/voyage_to_italy.html"">Voyage to Italy</a>
"
Herb & Dorothy 50x50,10/04/2013,9:15 PM,10/04/2013,10:42 PM,False,Cinemapolis (Ithaca),"<a href=""http://cinema.cornell.edu/Fall2013/herb__dorothy_50x50.html"">Herb & Dorothy 50x50</a>
"
The Heat,10/04/2013,9:30 PM,10/04/2013,9:30 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/heat.html"">The Heat</a>
"
Becoming Traviata,10/05/2013,7:15 PM,10/05/2013,9:15 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/becoming_traviata.html"">Becoming Traviata</a>
"
The Heat,10/05/2013,9:45 PM,10/05/2013,9:45 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/heat.html"">The Heat</a>
"
Voyage to Italy,10/06/2013,5:00 PM,10/06/2013,5:00 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/voyage_to_italy.html"">Voyage to Italy</a>
"
Where Do We Go Now?,10/06/2013,7:15 PM,10/06/2013,9:05 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/where_do_we_go_now.html"">Where Do We Go Now?</a>
"
Herb & Dorothy 50x50,10/08/2013,7:15 PM,10/08/2013,7:15 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/herb__dorothy_50x50.html"">Herb & Dorothy 50x50</a>
"
Decasia,10/08/2013,8:00 PM,10/08/2013,9:07 PM,False,Sage Chapel Cornell,"<a href=""http://cinema.cornell.edu/Fall2013/decasia.html"">Decasia</a>
"
Just Ancient Loops,10/08/2013,8:00 PM,10/08/2013,8:00 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/just_ancient_loops.html"">Just Ancient Loops</a>
"
Scarface (1932),10/09/2013,7:00 PM,10/09/2013,8:33 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/scarface_1932.html"">Scarface (1932)</a>
"
Oldboy,10/09/2013,9:00 PM,10/09/2013,11:00 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/oldboy.html"">Oldboy</a>
"
Becoming Traviata,10/10/2013,7:15 PM,10/10/2013,7:15 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/becoming_traviata.html"">Becoming Traviata</a>
"
Oldboy,10/11/2013,9:45 PM,10/11/2013,9:45 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/oldboy.html"">Oldboy</a>
"
Laura,10/16/2013,7:00 PM,10/16/2013,8:28 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/laura.html"">Laura</a>
"
Hannah Arendt,10/17/2013,7:00 PM,10/17/2013,8:53 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/hannah_arendt.html"">Hannah Arendt</a>
"
Much Ado About Nothing (2013),10/17/2013,9:45 PM,10/17/2013,11:34 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/much_ado_about_nothing_2.html"">Much Ado About Nothing (2013)</a>
"
The Red Shoes,10/18/2013,7:00 PM,10/18/2013,9:13 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/red_shoes.html"">The Red Shoes</a>
"
Much Ado About Nothing (2013),10/18/2013,9:45 PM,10/18/2013,9:45 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/much_ado_about_nothing_2.html"">Much Ado About Nothing (2013)</a>
"
Hannah Arendt,10/19/2013,7:00 PM,10/19/2013,7:00 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/hannah_arendt.html"">Hannah Arendt</a>
"
Much Ado About Nothing (2013),10/19/2013,9:30 PM,10/19/2013,9:30 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/much_ado_about_nothing_2.html"">Much Ado About Nothing (2013)</a>
"
The Red Shoes,10/20/2013,4:30 PM,10/20/2013,4:30 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/red_shoes.html"">The Red Shoes</a>
"
Much Ado About Nothing (2013),10/20/2013,7:15 PM,10/20/2013,7:15 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/much_ado_about_nothing_2.html"">Much Ado About Nothing (2013)</a>
"
Footnote,10/21/2013,7:15 PM,10/21/2013,8:58 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/footnote.html"">Footnote</a>
"
Wavemakers,10/22/2013,7:15 PM,10/22/2013,8:52 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/wavemakers.html"">Wavemakers</a>
"
West Side Story,10/23/2013,7:00 PM,10/23/2013,9:32 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/west_side_story.html"">West Side Story</a>
"
Rosemary_s Baby,10/23/2013,10:00 PM,10/23/2013,12:16 AM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/rosemarys_baby.html"">Rosemary_s Baby</a>
"
Our Nixon,10/24/2013,7:15 PM,10/24/2013,8:39 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/our_nixon.html"">Our Nixon</a>
"
Rosemary_s Baby,10/24/2013,9:45 PM,10/24/2013,9:45 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/rosemarys_baby.html"">Rosemary_s Baby</a>
"
The Time That Remains,10/28/2013,7:15 PM,10/28/2013,9:04 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/time_that_remains.html"">The Time That Remains</a>
"
Bonnie and Clyde,10/30/2013,7:00 PM,10/30/2013,8:51 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/bonnie_and_clyde.html"">Bonnie and Clyde</a>
"
Ghostbusters,10/30/2013,9:30 PM,10/30/2013,11:15 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/ghostbusters.html"">Ghostbusters</a>
"
The Hands of Orlac,10/31/2013,8:00 PM,10/31/2013,9:50 PM,False,Sage Chapel Cornell,"<a href=""http://cinema.cornell.edu/Fall2013/hands_of_orlac.html"">The Hands of Orlac</a>
"
From Here to Eternity,11/01/2013,7:00 PM,11/01/2013,8:58 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/from_here_to_eternity.html"">From Here to Eternity</a>
"
Diller Scofidio + Renfro: Reimagining Lincoln Center and the High Line,11/01/2013,9:15 PM,11/01/2013,10:09 PM,False,Cinemapolis (Ithaca),"<a href=""http://cinema.cornell.edu/Fall2013/diller_scofidio__renfro_.html"">Diller Scofidio + Renfro: Reimagining Lincoln Center and the High Line</a>
"
Ghostbusters,11/01/2013,9:30 PM,11/01/2013,9:30 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/ghostbusters.html"">Ghostbusters</a>
"
Despicable Me 2,11/02/2013,2:00 PM,11/02/2013,3:38 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/despicable_me_2.html"">Despicable Me 2</a>
"
The Swimmer,11/02/2013,7:15 PM,11/02/2013,8:50 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/swimmer.html"">The Swimmer</a>
"
Pacific Rim,11/02/2013,9:20 PM,11/02/2013,11:31 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/pacific_rim.html"">Pacific Rim</a>
"
Despicable Me 2,11/03/2013,4:30 PM,11/03/2013,4:30 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/despicable_me_2.html"">Despicable Me 2</a>
"
Pacific Rim,11/03/2013,7:15 PM,11/03/2013,7:15 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/pacific_rim.html"">Pacific Rim</a>
"
Diller Scofidio + Renfro: Reimagining Lincoln Center and the High Line,11/05/2013,7:15 PM,11/05/2013,7:15 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/diller_scofidio__renfro_.html"">Diller Scofidio + Renfro: Reimagining Lincoln Center and the High Line</a>
"
Manhattan,11/06/2013,7:00 PM,11/06/2013,8:36 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/manhattan.html"">Manhattan</a>
"
Sweet Smell of Success,11/06/2013,9:15 PM,11/06/2013,11:11 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/sweet_smell_of_success.html"">Sweet Smell of Success</a>
"
Israel: A Home Movie,11/07/2013,7:00 PM,11/07/2013,8:40 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/israel_a_home_movie.html"">Israel: A Home Movie</a>
"
Pacific Rim,11/07/2013,9:45 PM,11/07/2013,9:45 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/pacific_rim.html"">Pacific Rim</a>
"
The General,11/08/2013,7:30 PM,11/08/2013,8:52 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/general.html"">The General</a>
"
Blood Simple,11/08/2013,9:45 PM,11/08/2013,11:22 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/blood_simple.html"">Blood Simple</a>
"
See the World: Animated Shorts from Children_s Film Festival Seattle 2013,11/09/2013,2:00 PM,11/09/2013,3:07 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/see_the_world_animated_s.html"">See the World: Animated Shorts from Children_s Film Festival Seattle 2013</a>
"
He Who Gets Slapped,11/09/2013,7:15 PM,11/09/2013,8:50 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/he_who_gets_slapped.html"">He Who Gets Slapped</a>
"
Manhattan,11/09/2013,9:45 PM,11/09/2013,9:45 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/manhattan.html"">Manhattan</a>
"
Once Upon a Time in Anatolia,11/10/2013,4:15 PM,11/10/2013,6:45 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/once_upon_a_time_in_anat.html"">Once Upon a Time in Anatolia</a>
"
Blood Simple,11/10/2013,7:15 PM,11/10/2013,7:15 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/blood_simple.html"">Blood Simple</a>
"
The Gettysburg Story,11/12/2013,8:00 PM,11/12/2013,8:00 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/the_gettysburg_story.html"">The Gettysburg Story</a>
"
Videodrome,11/13/2013,7:00 PM,11/13/2013,8:30 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/videodrome.html"">Videodrome</a>
"
Fargo,11/13/2013,9:00 PM,11/13/2013,10:37 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/fargo.html"">Fargo</a>
"
The Act of Killing,11/14/2013,7:00 PM,11/14/2013,8:55 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/act_of_killing.html"">The Act of Killing</a>
"
Alien - Director_s Cut,11/14/2013,9:30 PM,11/14/2013,11:26 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/alien__directors_cut.html"">Alien - Director_s Cut</a>
"
Cine-concert,11/15/2013,7:15 PM,11/15/2013,7:15 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/cineconcert.html"">Cine-concert</a>
"
Fargo,11/15/2013,9:30 PM,11/15/2013,9:30 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/fargo.html"">Fargo</a>
"
Kiki_s Delivery Service,11/16/2013,2:00 PM,11/16/2013,3:43 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/kikis_delivery_service.html"">Kiki_s Delivery Service</a>
"
Heavy Metal,11/16/2013,5:00 PM,11/16/2013,6:30 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/heavy_metal.html"">Heavy Metal</a>
"
Dead and Buried,11/16/2013,7:30 PM,11/16/2013,9:04 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/dead_and_buried.html"">Dead and Buried</a>
"
Invaders from Mars,11/16/2013,10:00 PM,11/16/2013,11:40 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/invaders_from_mars.html"">Invaders from Mars</a>
"
Lifeforce,11/17/2013,2:00 PM,11/17/2013,3:56 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/lifeforce.html"">Lifeforce</a>
"
